Name,Date,Location,Type,Region
Amber Liu,1/17/2024 |  The Crocodile, The Crocodile,Music,Downtown
Disability Justice,1/17/2024 |  Town Hall Seattle, Town Hall Seattle,Readings & Lectures,Downtown
Hughes Bros Presents,1/17/2024 |  Sea Monster Lounge, Sea Monster Lounge,Music,Wallingford / Greenlake
sarya wu,1/17/2024 |  Chop Suey, Chop Suey,Music,Capitol Hill / Central District
The Sweet Lillies,1/17/2024 |  High Dive, High Dive,Music,Fremont / Ballard
Dinosaur Jr.,Now through 1/18/2024 |  The Neptune Theatre, The Neptune Theatre,Music,University District
Black Dogs,1/18/2024 |  Sea Monster Lounge, Sea Monster Lounge,Music,Wallingford / Greenlake
Blue Elephant and The Seven Snakes,1/18/2024 |  Funhouse, Funhouse,Music,Capitol Hill / Central District
"Brock, Lanzetti, Ogawa",1/18/2024 |  The Royal Room, The Royal Room,Music,South Seattle
